Argentina,ARG
Australia,AUS
Austria,AUT
Bangladesh,BGD
Belgium,BEL
Brazil,BRA
Bulgaria,BGR
Cambodia,KHM
Canada,CAN
Chile,CHL
China,CHN
Colombia,COL
Costa Rica,CRI
Croatia,HRV
Cyprus,CYP
Czechia,CZE
Denmark,DNK
Dominican Republic,DOM
Ecuador,ECU
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Hong Kong,HKG
Hungary,HUN
Iceland,ISL
India,IND
Indonesia,IDN
Ireland,IRL
Israel,ISR
Italy,ITA
Jamaica,JAM
Japan,JPN
Latvia,LVA
Lithuania,LTU
Luxembourg,LUX
Malaysia,MYS
Malta,MLT
Mexico,MEX
Myanmar,MMR
Netherlands,NLD
New Zealand,NZL
Norway,NOR
Pakistan,PAK
Peru,PER
Philippines,PHL
Poland,POL
Portugal,PRT
Romania,ROU
Russia,RUS
Singapore,SGP
Slovakia,SVK
Slovenia,SVN
South Africa,ZAF
South Korea,KOR
Spain,ESP
Sri Lanka,LKA
Sweden,SWE
Switzerland,CHE
Taiwan,TWN
Thailand,THA
Trinidad and Tobago,TTO
Turkey,TUR
United Kingdom,GBR
United States,USA
Uruguay,URY
Venezuela,VEN
Vietnam,VNM
